id,date,login,logout,late,worked_minutes,ot_minutes,ot_pay,deduction,break_minutes,break_over_minutes,early_leave,holiday,break_start
1001,2026-06-08,09:07,19:30,7,563,150,87500,0,60,0,0,no,
1002,2026-06-08,09:03,17:15,3,432,15,10000,0,60,0,0,no,
1003,2026-06-08,09:08,19:00,8,532,120,80000,0,60,0,0,no,
1004,2026-06-08,09:01,17:00,1,419,0,0,0,60,0,0,no,
1005,2026-06-08,09:06,20:00,6,594,180,105000,0,60,0,0,no,
1006,2026-06-08,09:06,17:00,6,414,0,0,0,60,0,0,no,
1007,2026-06-08,09:10,17:15,10,425,15,7500,0,60,0,0,no,
1008,2026-06-08,09:01,17:15,1,434,15,10000,0,60,0,0,no,
1009,2026-06-08,09:06,17:00,6,414,0,0,0,60,0,0,no,
1010,2026-06-08,09:01,17:30,1,449,30,17500,0,60,0,0,no,
1011,2026-06-08,09:08,19:30,8,562,150,87500,0,60,0,0,no,
1012,2026-06-08,09:09,17:30,9,441,30,10000,0,60,0,0,no,
1013,2026-06-08,09:10,19:00,10,530,120,80000,0,60,0,0,no,
1014,2026-06-08,09:07,17:15,7,428,15,10000,0,60,0,0,no,
1015,2026-06-08,09:06,17:30,6,444,30,12500,0,60,0,0,no,
1016,2026-06-08,09:01,17:15,1,434,15,5000,0,60,0,0,no,
1017,2026-06-08,09:09,18:00,9,471,60,30000,0,60,0,0,no,
1018,2026-06-08,09:02,19:00,2,538,120,40000,0,60,0,0,no,
1019,2026-06-08,09:06,17:30,6,444,30,10000,0,60,0,0,no,
1020,2026-06-08,09:09,17:30,9,441,30,17500,0,60,0,0,no,
1021,2026-06-08,09:09,17:30,9,441,30,20000,0,60,0,0,no,
1022,2026-06-08,09:05,20:00,5,595,180,105000,0,60,0,0,no,
1023,2026-06-08,09:05,18:30,5,505,90,30000,0,60,0,0,no,
1024,2026-06-08,09:04,18:00,4,476,60,20000,0,60,0,0,no,
1025,2026-06-08,09:10,19:00,10,530,120,80000,0,60,0,0,no,
1026,2026-06-08,09:10,19:00,10,530,120,60000,0,60,0,0,no,
1027,2026-06-08,09:04,17:45,4,461,45,18750,0,60,0,0,no,
1028,2026-06-08,09:04,19:00,4,536,120,50000,0,60,0,0,no,
1029,2026-06-08,09:03,17:30,3,447,30,10000,0,60,0,0,no,
1030,2026-06-08,09:05,17:30,5,445,30,17500,0,60,0,0,no,
1001,2026-06-08,02:46,02:46,0,0,586,341833,0,0,0,854,no,
1001,2026-06-08,02:46,02:46,0,0,586,341833,0,0,0,854,no,
